Disease,Province,Age_Group,Gender,Reported_Cases,Deaths,Hospitalized,Recovered,Month,Year,Season,Urban_Rural,Vaccinated,Travel_History,Comorbidity,Quarantined,ICU_Admission,Symptom_Fever,Symptom_Cough,Symptom_Rash,Contact_Tracing,Lab_Confirmed,Follow_Up,Days_Hospitalized,Region_Code
Typhoid,Shandong,65+,Male,21,2,1,0,7,2021,Summer,Urban,0,1,0,0,0,1,0,0,1,1,0,7,914
Influenza,Yunnan,15-24,Male,16,0,1,1,6,2018,Summer,Urban,0,0,0,1,0,1,0,0,0,1,0,26,852
Scarlet Fever,Beijing,65+,Male,17,0,1,1,10,2021,Autumn,Urban,1,0,0,0,0,1,1,1,0,1,1,11,593
Brucellosis,Shandong,65+,Male,15,0,0,1,11,2022,Autumn,Urban,0,0,0,0,0,1,0,0,0,1,0,0,344
Mumps,Henan,25-44,Male,24,0,1,1,2,2021,Winter,Urban,1,0,0,0,0,1,0,0,1,1,1,20,127
Malaria,Guangdong,45-64,Male,20,0,1,1,1,2022,Winter,Rural,0,0,0,0,0,1,1,0,0,1,1,28,303
Scarlet Fever,Sichuan,65+,Female,23,0,1,1,1,2019,Winter,Urban,0,0,0,1,0,1,1,0,0,1,0,21,885
HIV/AIDS,Jiangsu,45-64,Female,17,1,0,0,4,2022,Spring,Urban,1,0,0,0,0,1,0,0,0,1,1,0,412
Typhoid,Hunan,0-14,Male,21,1,1,0,2,2021,Winter,Urban,0,1,0,0,0,0,1,0,1,0,0,26,464
Rabies,Jiangsu,45-64,Female,17,0,1,1,6,2021,Summer,Urban,0,1,0,0,0,0,0,0,0,1,1,10,136
Dysentery,Shandong,15-24,Male,14,2,1,0,12,2021,Winter,Rural,0,0,0,0,0,0,0,0,0,1,1,26,491
Typhoid,Sichuan,15-24,Male,19,0,0,1,12,2018,Winter,Urban,1,0,0,1,0,0,0,0,1,1,1,0,865
Mumps,Henan,65+,Male,26,0,1,0,9,2019,Autumn,Rural,1,1,0,1,0,0,0,0,1,1,0,27,971
Mumps,Zhejiang,45-64,Male,20,0,1,1,10,2022,Autumn,Urban,1,0,0,1,0,0,0,0,1,1,0,26,716
Malaria,Beijing,65+,Female,22,0,0,1,11,2020,Autumn,Rural,1,1,0,0,0,0,1,0,0,1,0,0,342
HIV/AIDS,Sichuan,25-44,Female,14,1,0,0,10,2022,Autumn,Urban,1,0,1,0,0,1,1,0,1,1,0,0,199
Influenza,Guangdong,15-24,Female,22,0,1,1,8,2021,Summer,Urban,0,0,0,0,0,0,1,0,1,1,0,24,858
Malaria,Yunnan,65+,Female,15,0,0,1,4,2020,Spring,Urban,0,0,0,0,0,1,1,0,0,1,1,0,143
Malaria,Henan,25-44,Male,29,0,1,1,12,2020,Winter,Rural,1,0,0,0,0,1,0,0,0,1,1,6,164
Dysentery,Beijing,65+,Female,24,0,1,1,2,2022,Winter,Rural,1,0,1,1,0,0,1,0,0,1,1,18,277
Measles,Hunan,45-64,Male,21,1,1,0,1,2022,Winter,Rural,0,0,0,0,1,0,0,1,0,1,0,15,246
HIV/AIDS,Yunnan,45-64,Male,17,0,1,1,7,2022,Summer,Rural,1,0,1,0,0,1,0,1,0,1,1,20,660
Hepatitis B,Shandong,45-64,Female,20,0,0,1,10,2022,Autumn,Urban,0,1,0,0,0,0,0,0,1,0,0,0,166
Malaria,Sichuan,45-64,Male,18,1,1,0,3,2019,Spring,Urban,0,0,0,0,0,1,0,1,0,0,0,24,446
Chickenpox,Beijing,0-14,Female,18,0,1,1,6,2018,Summer,Rural,0,0,0,0,0,0,0,0,0,1,0,26,145
Measles,Zhejiang,25-44,Female,18,0,1,0,5,2022,Spring,Urban,1,0,0,1,0,1,0,0,1,1,1,18,513
Hepatitis B,Zhejiang,45-64,Female,22,0,1,0,12,2018,Winter,Urban,1,1,0,1,0,0,0,0,0,1,0,12,958
Chickenpox,Henan,0-14,Female,28,1,1,0,2,2022,Winter,Rural,1,0,0,0,0,1,0,0,0,1,0,20,553
HIV/AIDS,Hunan,45-64,Male,30,0,1,0,9,2022,Autumn,Rural,0,0,0,1,1,1,1,0,0,1,0,16,720
Tuberculosis,Henan,0-14,Female,21,0,0,1,11,2022,Autumn,Urban,1,0,0,1,0,0,0,0,0,1,1,0,972
Chickenpox,Shanghai,45-64,Female,27,1,1,0,4,2019,Spring,Rural,1,0,0,0,0,0,0,0,1,1,0,22,308
Rabies,Guangdong,15-24,Male,22,0,1,1,10,2021,Autumn,Rural,0,0,1,0,0,1,0,1,1,1,1,1,914
Measles,Hunan,15-24,Female,15,0,1,1,1,2018,Winter,Rural,1,0,1,1,0,1,1,0,0,1,1,25,306
Scarlet Fever,Jiangsu,65+,Female,26,0,1,1,2,2018,Winter,Rural,1,0,1,1,0,0,0,0,1,1,0,25,480
Chickenpox,Guangdong,45-64,Male,14,1,0,0,9,2019,Autumn,Urban,0,0,0,0,0,0,1,0,0,1,0,0,182
Syphilis,Hunan,25-44,Male,21,0,0,1,7,2019,Summer,Rural,1,0,0,0,0,1,0,0,0,1,0,0,385
Tuberculosis,Hunan,65+,Female,17,0,1,1,10,2022,Autumn,Rural,1,0,0,0,0,1,0,1,1,1,1,27,971
Mumps,Shanghai,15-24,Male,19,0,1,1,2,2022,Winter,Urban,1,0,0,0,1,1,0,0,1,1,0,5,556
Mumps,Shandong,45-64,Female,20,0,1,1,7,2021,Summer,Rural,1,1,0,1,0,0,0,1,0,1,0,15,734
Brucellosis,Shanghai,65+,Male,23,0,1,1,4,2018,Spring,Urban,1,0,0,0,1,0,1,0,0,1,0,6,517
Rabies,Hunan,45-64,Female,16,0,1,1,10,2019,Autumn,Urban,1,0,1,0,0,1,1,0,0,1,0,18,337
Chickenpox,Beijing,15-24,Female,23,0,0,1,2,2021,Winter,Rural,1,0,0,0,0,0,0,0,1,1,0,0,445
Chickenpox,Guangdong,65+,Female,19,0,0,1,12,2018,Winter,Urban,1,0,0,0,0,0,1,1,0,1,0,0,465
Brucellosis,Shanghai,15-24,Male,24,0,1,1,4,2021,Spring,Urban,1,0,0,1,0,0,0,0,0,1,0,9,456
COVID-19,Shandong,0-14,Female,22,1,1,0,5,2021,Spring,Rural,0,0,0,1,1,0,0,0,0,1,1,0,160
COVID-19,Sichuan,15-24,Male,17,0,0,1,4,2022,Spring,Rural,0,1,0,0,0,1,1,0,1,1,0,0,483
Brucellosis,Henan,45-64,Female,14,0,0,0,3,2021,Spring,Rural,0,0,0,1,0,1,1,1,0,1,1,0,262
COVID-19,Hunan,25-44,Female,16,0,1,1,6,2022,Summer,Urban,1,0,0,0,1,0,0,1,0,1,0,0,845
Dysentery,Jiangsu,15-24,Female,27,0,1,1,1,2018,Winter,Urban,1,0,1,0,0,1,0,0,1,1,1,24,677
Chickenpox,Sichuan,25-44,Female,23,0,1,1,8,2018,Summer,Urban,0,0,0,0,0,0,1,0,0,1,0,8,112
Typhoid,Zhejiang,0-14,Female,21,0,0,1,12,2022,Winter,Urban,0,0,0,1,0,0,1,0,0,1,0,0,671
Influenza,Yunnan,65+,Male,24,0,0,0,5,2020,Spring,Urban,0,0,0,0,0,1,1,0,0,1,1,0,206
Syphilis,Shandong,65+,Male,23,1,0,0,8,2021,Summer,Urban,1,0,0,1,0,1,0,0,0,1,0,0,462
Dysentery,Jiangsu,25-44,Male,25,0,1,1,10,2018,Autumn,Rural,1,0,0,1,0,1,0,0,0,0,0,9,364
HIV/AIDS,Yunnan,65+,Female,22,0,1,1,4,2021,Spring,Urban,0,0,0,0,0,0,0,1,1,1,0,7,207
Dysentery,Shandong,15-24,Female,22,0,1,1,4,2020,Spring,Urban,0,0,0,1,0,1,0,0,1,1,0,19,932
Typhoid,Beijing,25-44,Male,20,1,1,0,5,2021,Spring,Rural,0,0,0,0,0,0,0,0,0,1,1,4,567
HIV/AIDS,Henan,45-64,Female,19,0,1,1,5,2020,Spring,Urban,0,1,0,0,0,1,1,0,0,1,1,12,788
Syphilis,Sichuan,15-24,Female,20,0,1,1,11,2019,Autumn,Urban,0,0,1,0,0,0,0,1,1,1,1,20,936
Typhoid,Guangdong,15-24,Female,24,1,1,0,6,2020,Summer,Urban,0,0,0,0,0,0,0,0,0,1,0,26,367
Hepatitis B,Shandong,15-24,Male,16,0,1,1,5,2018,Spring,Rural,1,0,0,0,0,0,0,0,0,0,1,1,334
Influenza,Guangdong,45-64,Male,25,0,1,1,5,2022,Spring,Rural,0,1,0,0,0,0,0,0,1,1,1,1,928
Syphilis,Henan,0-14,Male,20,0,1,1,8,2022,Summer,Rural,1,0,0,0,0,1,1,0,0,1,0,7,723
Chickenpox,Hunan,65+,Male,18,1,1,0,6,2021,Summer,Rural,1,0,1,0,1,1,0,0,0,1,0,9,906
Hepatitis B,Sichuan,0-14,Female,24,1,0,0,4,2021,Spring,Urban,0,0,1,0,0,1,1,0,0,1,0,0,555
Rabies,Henan,25-44,Female,17,0,1,1,4,2020,Spring,Rural,0,1,0,0,0,1,0,1,1,1,1,17,377
Syphilis,Henan,65+,Female,19,0,1,1,5,2022,Spring,Urban,1,0,0,0,0,0,1,1,0,1,1,22,701
Rabies,Beijing,45-64,Female,23,0,0,1,6,2020,Summer,Urban,1,0,0,0,0,0,0,1,0,1,0,0,438
HIV/AIDS,Yunnan,15-24,Male,26,0,1,1,11,2022,Autumn,Urban,0,0,0,0,0,0,0,0,1,1,1,1,924
Hepatitis B,Zhejiang,15-24,Male,14,0,0,1,5,2022,Spring,Rural,0,1,0,0,0,0,1,0,0,1,1,0,818
Influenza,Sichuan,45-64,Female,31,0,1,1,11,2022,Autumn,Urban,1,1,1,0,1,1,0,0,0,1,0,8,264
Chickenpox,Hunan,0-14,Male,24,0,0,1,6,2018,Summer,Rural,1,0,0,0,0,1,1,0,0,1,1,0,140
Brucellosis,Hunan,0-14,Female,18,0,1,1,8,2020,Summer,Urban,0,0,0,0,0,0,1,0,0,1,1,19,312
Chickenpox,Shanghai,25-44,Female,20,0,0,1,4,2021,Spring,Urban,1,0,0,0,0,1,0,0,1,1,0,0,214
Typhoid,Henan,45-64,Female,22,1,0,0,11,2019,Autumn,Rural,1,0,0,0,0,0,0,0,0,1,1,0,560
Chickenpox,Shandong,0-14,Female,30,0,1,1,3,2021,Spring,Rural,1,0,1,0,0,1,1,0,1,1,0,15,234
Scarlet Fever,Beijing,45-64,Male,31,1,1,0,9,2020,Autumn,Urban,1,0,0,0,0,0,1,0,1,1,1,28,444
Malaria,Zhejiang,65+,Female,20,0,1,0,3,2019,Spring,Rural,1,0,0,0,0,0,0,0,0,1,1,1,132
Brucellosis,Hunan,15-24,Male,19,1,1,0,11,2021,Autumn,Rural,1,1,0,1,0,0,0,0,1,1,1,24,614
Dysentery,Sichuan,15-24,Female,19,0,1,1,8,2019,Summer,Urban,1,0,0,0,0,1,1,0,0,1,0,4,650
COVID-19,Shanghai,15-24,Female,23,0,0,1,10,2020,Autumn,Rural,1,1,0,0,0,1,0,0,0,1,0,0,451
Tuberculosis,Sichuan,45-64,Female,25,1,1,0,12,2022,Winter,Rural,1,1,0,0,1,1,1,0,0,0,1,26,844
Influenza,Beijing,45-64,Female,21,1,1,0,5,2020,Spring,Rural,0,0,0,1,0,0,0,0,0,1,0,18,779
Hepatitis B,Shandong,25-44,Male,18,0,0,1,9,2018,Autumn,Rural,0,1,0,0,0,1,1,0,0,1,0,0,599
Malaria,Shanghai,15-24,Female,17,0,1,1,3,2019,Spring,Rural,1,1,0,1,1,0,1,0,1,1,0,25,597
Influenza,Shanghai,25-44,Male,16,0,1,1,10,2020,Autumn,Rural,1,0,0,0,0,1,1,0,1,1,0,22,378
Hepatitis B,Yunnan,15-24,Female,22,0,0,1,10,2022,Autumn,Urban,1,0,0,0,0,0,0,0,0,1,0,0,549
COVID-19,Zhejiang,25-44,Female,30,1,0,0,8,2022,Summer,Rural,0,0,0,0,0,1,1,0,0,1,0,0,835
Measles,Shanghai,25-44,Female,26,0,1,1,7,2020,Summer,Rural,1,0,0,1,0,1,1,1,0,1,1,17,401
Measles,Yunnan,65+,Male,20,1,0,0,12,2021,Winter,Urban,0,0,0,0,0,0,1,0,1,1,0,0,617
Rabies,Yunnan,25-44,Female,12,0,1,1,7,2020,Summer,Rural,0,0,1,1,0,0,1,1,0,1,1,10,938
Influenza,Beijing,45-64,Female,19,1,1,0,11,2022,Autumn,Rural,0,0,0,1,0,1,0,1,0,0,1,10,923
Measles,Guangdong,25-44,Female,18,1,1,0,10,2020,Autumn,Urban,1,1,0,0,0,0,0,0,0,1,0,9,376
Scarlet Fever,Sichuan,15-24,Female,24,0,1,1,9,2018,Autumn,Urban,0,0,1,0,0,0,0,0,0,1,0,9,708
Brucellosis,Shandong,25-44,Female,15,0,1,1,12,2021,Winter,Rural,0,0,0,1,0,0,1,0,0,1,1,3,179
Hepatitis B,Jiangsu,0-14,Male,23,1,1,0,8,2020,Summer,Rural,1,0,0,0,0,1,0,0,1,0,1,8,550
Rabies,Sichuan,15-24,Male,20,0,0,1,3,2022,Spring,Urban,1,0,0,1,0,0,1,0,0,1,0,0,893
Chickenpox,Shanghai,0-14,Female,19,0,1,1,6,2020,Summer,Rural,1,0,1,0,0,0,1,0,1,1,1,12,354
Hepatitis B,Shandong,15-24,Female,23,0,0,1,11,2020,Autumn,Rural,1,0,0,1,0,0,0,0,0,1,0,0,764
Rabies,Hunan,45-64,Male,15,0,1,1,6,2019,Summer,Urban,0,0,0,0,0,1,0,0,0,1,1,1,946
COVID-19,Guangdong,45-64,Female,17,1,1,0,5,2020,Spring,Urban,0,0,0,1,1,1,1,0,0,1,1,0,313
Influenza,Hunan,45-64,Male,14,0,1,1,3,2018,Spring,Urban,1,0,0,0,0,0,0,1,0,1,1,18,206
COVID-19,Hunan,0-14,Female,17,1,1,0,9,2022,Autumn,Rural,1,0,0,0,0,0,0,0,1,1,1,11,200
Brucellosis,Zhejiang,65+,Female,26,0,1,0,7,2019,Summer,Urban,0,1,0,0,0,0,0,0,0,1,0,4,724
Brucellosis,Sichuan,15-24,Male,24,0,0,1,4,2020,Spring,Rural,1,0,0,0,0,1,1,0,0,1,1,0,467
Malaria,Jiangsu,45-64,Female,22,0,0,1,6,2021,Summer,Urban,1,0,0,1,0,1,0,0,1,1,1,0,803
Typhoid,Jiangsu,0-14,Male,20,0,1,1,1,2018,Winter,Rural,0,0,0,0,0,1,0,0,0,1,1,24,661
Chickenpox,Hunan,65+,Male,14,0,1,0,2,2018,Winter,Urban,0,0,0,0,0,0,1,0,0,1,1,6,128
Syphilis,Shanghai,0-14,Female,22,0,0,1,1,2019,Winter,Rural,1,0,0,0,0,0,1,1,0,0,0,0,456
COVID-19,Guangdong,15-24,Male,30,1,0,0,9,2020,Autumn,Rural,1,0,0,1,0,0,0,1,0,1,1,0,502
Malaria,Henan,65+,Male,17,0,0,1,9,2018,Autumn,Rural,1,0,0,1,0,0,0,0,0,1,0,0,715
HIV/AIDS,Jiangsu,65+,Female,20,0,0,1,5,2020,Spring,Rural,1,0,1,0,0,0,0,0,0,1,1,0,194
Scarlet Fever,Hunan,0-14,Female,24,0,0,1,8,2021,Summer,Rural,0,1,0,0,0,0,0,0,0,1,0,0,669
Hepatitis B,Guangdong,45-64,Female,23,0,1,1,10,2020,Autumn,Urban,1,1,0,0,0,0,0,0,0,1,1,5,241
Brucellosis,Shandong,15-24,Female,19,0,0,0,4,2020,Spring,Urban,1,0,0,1,0,0,0,0,0,1,1,0,224
HIV/AIDS,Sichuan,25-44,Female,31,0,0,1,1,2020,Winter,Rural,1,0,0,0,0,0,0,0,1,1,1,0,162
Malaria,Yunnan,25-44,Female,19,0,0,1,4,2022,Spring,Rural,1,0,0,0,0,0,1,0,0,1,0,0,868
Rabies,Zhejiang,0-14,Male,18,0,1,1,7,2019,Summer,Rural,0,1,0,0,0,1,0,0,0,1,0,17,471
Syphilis,Guangdong,15-24,Female,19,0,1,1,11,2020,Autumn,Rural,1,1,0,0,0,0,0,0,1,1,1,2,303
Chickenpox,Shanghai,15-24,Male,20,0,1,1,2,2018,Winter,Urban,1,0,0,0,0,1,0,1,1,1,0,10,419
Chickenpox,Shanghai,0-14,Female,22,0,1,1,2,2022,Winter,Urban,0,0,0,1,0,1,0,0,1,1,0,25,238
Chickenpox,Guangdong,15-24,Male,16,1,1,0,6,2020,Summer,Urban,1,0,1,1,0,1,0,1,1,1,1,3,274
Scarlet Fever,Shanghai,45-64,Male,10,0,1,1,9,2022,Autumn,Urban,1,0,0,1,0,1,1,0,0,1,1,12,876
Syphilis,Sichuan,0-14,Female,17,0,1,1,3,2019,Spring,Urban,1,0,0,0,0,0,1,0,0,1,0,1,591
Scarlet Fever,Shanghai,45-64,Female,20,0,1,1,7,2022,Summer,Urban,1,1,0,0,0,0,0,0,1,0,0,19,708
Brucellosis,Jiangsu,15-24,Male,26,1,1,0,10,2018,Autumn,Rural,0,0,0,0,0,1,0,1,0,1,1,5,281
Scarlet Fever,Yunnan,0-14,Female,18,0,1,1,9,2020,Autumn,Urban,1,1,0,1,0,0,0,0,1,0,0,20,729
Tuberculosis,Shanghai,15-24,Female,18,0,0,0,11,2018,Autumn,Urban,1,1,0,0,0,0,0,1,0,1,1,0,837
Syphilis,Yunnan,0-14,Male,22,2,0,0,9,2021,Autumn,Rural,0,0,0,1,0,0,0,0,0,1,0,0,596
Typhoid,Hunan,15-24,Male,21,0,1,1,11,2022,Autumn,Rural,1,0,0,1,0,1,1,1,0,1,1,20,228
Syphilis,Beijing,45-64,Male,15,0,0,1,4,2022,Spring,Rural,0,0,0,1,0,0,1,1,0,1,1,0,621
Malaria,Sichuan,45-64,Female,29,0,0,1,2,2022,Winter,Rural,1,0,0,1,0,1,0,0,0,1,0,0,752
Tuberculosis,Beijing,15-24,Female,22,0,1,1,1,2019,Winter,Rural,1,0,0,0,0,1,0,0,0,1,0,24,768
Chickenpox,Hunan,0-14,Female,14,1,1,0,6,2018,Summer,Urban,1,1,0,1,0,0,0,0,1,0,1,6,722
Malaria,Sichuan,25-44,Female,17,0,1,1,5,2021,Spring,Rural,1,0,0,1,0,0,1,0,1,1,0,28,360
Malaria,Guangdong,45-64,Male,15,0,1,1,6,2019,Summer,Rural,1,1,0,0,0,0,0,0,1,0,0,14,152
Brucellosis,Guangdong,45-64,Female,18,0,0,1,7,2019,Summer,Rural,1,1,0,0,0,0,0,0,0,1,0,0,190
Mumps,Yunnan,25-44,Male,21,1,1,0,9,2020,Autumn,Urban,1,0,0,1,0,0,0,0,0,1,1,8,349
Dysentery,Hunan,15-24,Female,17,0,1,1,10,2021,Autumn,Rural,1,0,0,1,1,0,0,0,0,1,0,28,778
Tuberculosis,Yunnan,0-14,Female,26,0,0,1,10,2022,Autumn,Rural,1,0,0,1,0,0,0,0,1,1,0,0,860
Malaria,Zhejiang,15-24,Male,18,0,1,1,11,2022,Autumn,Urban,1,1,1,0,0,1,1,0,0,1,1,23,327
Dysentery,Shanghai,65+,Female,18,0,0,1,6,2020,Summer,Rural,1,0,0,0,0,1,0,1,1,0,0,0,535
Dysentery,Henan,45-64,Female,21,0,1,1,6,2022,Summer,Urban,1,0,0,0,0,1,0,1,0,1,0,14,830
Tuberculosis,Zhejiang,65+,Male,16,0,1,0,3,2018,Spring,Urban,1,1,0,1,0,1,0,0,0,1,0,20,846
Mumps,Shanghai,45-64,Female,24,0,1,1,8,2022,Summer,Rural,0,0,1,0,0,1,1,1,1,1,0,8,714
HIV/AIDS,Sichuan,45-64,Male,13,0,1,1,9,2018,Autumn,Urban,1,1,1,0,0,1,1,0,0,1,1,23,657
